campaign_id,audience_segment,creative_size.userid,creative_messaging,app_url,exchange,device_make,impressions,clicks,viewable_impressions,measurable_impressions,total_conversions,gross_cost
GI23R,US Home » Dwelling Type » Single-Family,300x250 | EWZBC8759S,10% Discount - Ends 6/1,gamerant.com,Google Ad Manager,Windows PC,16202,80,11786,15365,2,1570.34276
CV90M,Online Behavior>United States>Finance » Accounting and Auditing>Bookkeeping,320x50 | EWZBC8759S,10% Discount - Ends 6/1,kbb.com,BidSwitch,Smartphone,69523,174,48273,65800,9,2649.997803
PN88X,Online Behavior>United States>Arts and Entertainment>Events and Listings » Concerts and Music Festivals,300x50 | EWZBC8759S,Sign up Today - 10% Off,usssa.com,Google Ad Manager,Smartphone,"446,774",951,"196,581","379,758",33,6956.627366
PW56U,Online Behavior>United States>Validated Demographic » Gender and Age Combined>Females 25-34,300x250 | QWTWH2779Y,10% Discount - Ends 6/1,ign.com,Index Exchange,Smartphone,8273,24,1929,7441,3,4689.521024
WB39L,US » Interest Propensities » TV and Movies » Sports TV,300x250 | QPNDD6389F,Sign up Today - 10% Off,accuweather.com,Yahoo Exchange,Smartphone,15200,60,5375,12040,4,1970.357345
QM25I,Online Behavior>United States>Sports>Individual Sports » Bowling,300x250 | QPNDD6389F,Sign up Today - 10% Off,mail.aol.com,Smart RTB+ (Smartadserver),Windows PC,30460,95,21830,27750,25,6643.966542
EU49F,Online Behavior>United States>Autos and Vehicles » Brands>Vauxhall-Opel,300x50 | QPNDD6389F,Sign up Today - 10% Off,wsmv.com,Google Ad Manager,Smartphone,17382,100,7411,16576,8,5797.219977
WT24D,US » Reach » Propensity Models » Household Consumer Expenditures » Home Office,320x50 | JNAMM4456W,Subscribe Today - 10% Discount,calculator.net,Index Exchange,Smartphone,36431,108,31262,35043,11,3285.834522
XT10E,Online Behavior>United States>Sports>Motor Sports,320x50 | JNAMM4456W,Sign up Now - 10% Off,forbes.com,BidSwitch,Smartphone,8204,20,1348,7832,1,5973.379892
HY96C,US » Brand Propensities » Health » Beauty and Cosmetics » Beachbody Buyer Propensity,320x50 | JNAMM4456W,Subscribe Today - 10% Discount,nypost.com,Google Ad Manager,Smartphone,152881,426,94895,145113,11,1496.668524
SG19N,US » B2B » B2B Decision Maker Responsibilities » Accounting or Tax Services,320x50 | KEIGT3829Y,Sign up Today - 10% Off,doodle.com,Google Ad Manager,Smartphone,12606,74,8332,11170,5,2002.537989
HT41B,Online Behavior>United States>Games>Arcade and Coin-Op Games,320x50 | KEIGT3829Y,Sign up Today - 10% Off,yahoo.com,BidSwitch,Smartphone,120603,298,47405,100881,10,6633.532635
JQ63D,Online Behavior>United States>Beauty and Fitness>Fashion and Style,320x50 | OSDRZ9148A,10% Discount - Ends 6/1,miamiherald.com,Xandr - Monetize SSP (AppNexus),Smartphone,7320,33,4020,6692,15,1730.37357
RG87T,Online Behavior>United States>Finance » Insurance>Health Insurance,320x50 | OSDRZ9148A,Sign up Today - 10% Off,myfitnesspal.com,PubMatic,Smartphone,39881,125,6331,36245,10,7098.889706
SZ60O,US » Reach » Propensity Models » Hobbies and Interest » Sports » Canoeing » Kayaking,300x250 | OSDRZ9148A,Subscribe Today - 10% Discount,thebigmansworld.com,BidSwitch,Smartphone,10653,68,5263,9921,11,2641.478397
OT46S,Online Behavior>United States>Beauty and Fitness>Face and Body Care » Hygiene and Toiletries,300x250 | OSDRZ9148A,Sign up Now - 10% Off,the-sun.com,OpenX,Smartphone,247106,750,159618,233150,32,7629.94427
KT43H,Online Behavior>United States>News>Sports News,320x50 | ISJZP5116B,Subscribe Today - 10% Discount,biblegateway.com,Google Ad Manager,Smartphone,26715,100,12287,25003,6,4623.089672
CO92O,Online Behavior>United States>Arts and Entertainment>Movies,300x250 | ISJZP5116B,10% Discount - Ends 6/1,funnyand.com,Google Ad Manager,Smartphone,9273,70,4648,8751,5,4986.51937
BL51J,Online Behavior>United States>B2B » Occupation>Broker,320x50 | ISJZP5116B,Sign up Now - 10% Off,tastesbetterfromscratch.com,BidSwitch,Smartphone,21962,120,10702,21034,11,6404.003128
FO81Y,OnAudience » Interest » Technology & Computing » Email,320x50 | EUDBU4665J,Sign up Today - 10% Off,sporcle.com,GumGum,Smartphone,16956,65,7553,15201,3,1502.680139
YP5P,US » Reach » Propensity Models » Hobbies and Interest » Food and Drinks » High-end Spirit Drinkers,320x50 | ZIOZM0154P,Sign up Today - 10% Off,cbssports.com,OpenX,Smartphone,20548,40,14259,19654,13,3060.424769
FM57Z,US » B2B » B2B Decision Maker Responsibilities » Computer Hardware,320x50 | KWIBK2289A,10% Discount - Ends 6/1,finance.yahoo.com,Sovrn,Smartphone,51056,120,24672,45563,4,2215.631845
CG21B,US » Reach » Sociodemographic » Age » 45-49,300x250 | KWIBK2289A,Subscribe Today - 10% Discount,forbes.com,Google Ad Manager,Windows PC,69239,160,23112,65390,1,4514.952724
FS92Q,US » Reach » Propensity Models » Real Estate » Monthly Mortgage Payment » $800-$999,300x250 | DOIMT7462U,Sign up Now - 10% Off,cbsnews.com,Index Exchange,Apple PC,13075,74,5980,12114,15,1936.130798
BF99N,US » Reach » Propensity Models » Hobbies and Interest » Sports » Avid Runners,300x250 | CFHGW5648C,10% Discount - Ends 6/1,cbsnews.com,BidSwitch,Smartphone,510778,1290,70777,436133,6,3870.253867
MW33J,Mobile - US » Device Ownership » Smartphones » iOS (Apple) » yes,320x50 | CFHGW5648C,Sign up Now - 10% Off,people.com,Yieldmo,Smartphone,22175,140,14910,20074,6,1909.277483
WB33U,US » Premium Entertainment and Pastimes » Premium Magazine Enthusiasts,300x250 | IKJYQ1906K,Subscribe Today - 10% Discount,finance.yahoo.com,PubMatic,Smartphone,109567,345,57620,97903,5,1616.714722
GA68F,Online Behavior>United States>The Changing Consumer>Home Cooking,300x50 | IKJYQ1906K,10% Discount - Ends 6/1,kbb.com,Google Ad Manager,Smartphone,58938,175,41861,55929,9,4881.198269
HB38R,Online Behavior>United States>Sports>Individual Sports » Track and Field,320x50 | IKJYQ1906K,Sign up Now - 10% Off,mail.aol.com,Google Ad Manager,Smartphone,7514,20,2646,3373,3,6756.295179
BW84Z,US » Reach » Propensity Models » Hobbies and Interest » Photography,300x250 | IWALP7682D,Sign up Now - 10% Off,boattrader.com,BidSwitch,Smartphone,20278,74,14227,19480,3,2921.110207
MX45F,Online Behavior>United States>Beauty and Fitness>Fitness » Bodybuilding,300x250 | GYOZX2851Q,10% Discount - Ends 6/1,pandora.com,Magnite DV+,Smartphone,57168,160,43261,55261,12,5841.15136
TK59G,Online Behavior>United States>Intent » Shopping>Entertainment,300x50 | SCHMD8376D,Sign up Today - 10% Off,mapquest.com,Index Exchange,Smartphone,11734,78,8741,10606,5,6439.283498
ZV1K,Media and Entertainment » Television (TV) » Viewership,300x250 | JYDYN0938L,Sign up Today - 10% Off,womenshealthmag.com,BidSwitch,Smartphone,14693,70,6597,13508,4,2047.348924
HK70A,US » Brand Propensities » Media and Entertainment » Steam Community Buyer Propensity,320x50 | ISFIX4795J,Sign up Today - 10% Off,mail.yahoo.com,Google Ad Manager,Smartphone,780475,2186,453974,691696,11,1726.249457
IR55W,US » Reach » Propensity Models » Hobbies and Interest » Music » Listens to Country Music,300x250 | ISFIX4795J,10% Discount - Ends 6/1,microsoftcasualgames.com,PulsePoint,Smartphone,292578,812,6474,12323,4,1826.318738
VY64X,US Financial » Likely Credit Card » Behavior » Used for Personal Purposes,300x250 | ISFIX4795J,10% Discount - Ends 6/1,slickdeals.net,Google Ad Manager,Smartphone,37554,92,13128,27596,8,1737.843485
MS99B,Online Behavior>United States>Validated Demographic » Gender>Male,320x50 | UGBDH9396Q,Sign up Today - 10% Off,kbb.com,Google Ad Manager,Smartphone,48947,230,32089,45597,21,5702.290265
JW11B,Online Behavior>United States>Intent » Auto Buyers » Car Make>Hyundai,320x50 | VVMOR8767G,10% Discount - Ends 6/1,daily-choices.com,OpenX,Smartphone,25532,140,15219,21497,9,6047.174109
MP63V,Online Behavior>United States>Autos and Vehicles » Brands>Lexus,300x250 | QGSPI6609K,Subscribe Today - 10% Discount,sportpirate.com,Index Exchange,Windows PC,17075,44,5508,11539,10,5086.08996
LQ6L,Lotame » Travel » Winter Holiday Travel,300x250 | REODI7132J,Sign up Now - 10% Off,investing.com,Magnite DV+,Apple PC,81486,193,57653,76803,6,1463.842874
UM67M,Online Behavior>United States>Home and Garden>Home Appliances,300x250 | VMKOT9945C,10% Discount - Ends 6/1,news.yahoo.com,BidSwitch,Smartphone,8420,80,4430,7869,8,5184.585424
SN67I,Online Behavior>United States>Life Event>Job Search,320x50 | VMKOT9945C,10% Discount - Ends 6/1,thesaurus.com,Google Ad Manager,Smartphone,18081,44,4545,15617,15,6522.637526
OF94X,OnAudience » Interest » Science » Weather Forecast,300x250 | MWWQM0755O,Sign up Today - 10% Off,biblegateway.com,Google Ad Manager,Windows PC,16808,43,9211,13372,3,1574.79128
AM10N,US » Reach » Propensity Models » Lifestyle » Loyalty Programs » Loyalty Card User,300x250 | MWWQM0755O,Sign up Today - 10% Off,findagrave.com,PubMatic,Smartphone,13100,80,6507,10895,5,3411.590029
XJ84A,US » Brand Propensities » Travel » Hotel Tonight Buyer Propensity,300x250 | FVCXM7753B,10% Discount - Ends 6/1,biblegateway.com,Magnite DV+,Smartphone,188170,490,155266,176562,6,1599.715069
PO48F,US Financial » Credit Card Type » Credit Card Holder - Unknown Type,300x50 | FVCXM7753B,10% Discount - Ends 6/1,fandom.com,Google Ad Manager,Smartphone,7394,20,3441,6663,1,1624.840774
XW61Q,Online Behavior>United States>Hobbies and Leisure>Outdoors » Fishing,300x250 | LLVNA4149A,Sign up Today - 10% Off,mlb.com,PubMatic,Windows PC,25206,75,3588,23556,19,6846.356434
NM94C,US » Reach » Propensity Models » Hobbies and Interest » Sports » NASCAR Enthusiast,300x250 | TDALE4719U,Sign up Now - 10% Off,mail.yahoo.com,Google Ad Manager,Smartphone,12988,69,6514,9378,4,2236.485099
LA11D,OnAudience » Interest » Life Stage,300x250 | YMMMQ8595M,10% Discount - Ends 6/1,ebay.com,Google Ad Manager,Smartphone,189462,478,53431,163634,5,1625.17488
JJ78G,Mobile - US » Food » Restaurant » Brand » Moes Southwest Grill,320x50 | JPXBW4979F,Sign up Today - 10% Off,mapquest.com,Index Exchange,Smartphone,21903,124,18831,20922,4,1661.167909
SX30U,Online Behavior>United States>Internet and Telecom>Search Engines,300x250 | JPXBW4979F,10% Discount - Ends 6/1,weather.com,PubMatic,Windows PC,26439,95,7093,19681,7,5330.781969
XY86D,US » B2B » B2B Decision Maker Responsibilities » Company Liability or Insurance,300x250 | PLERR1529Y,10% Discount - Ends 6/1,citationmachine.net,Google Ad Manager,Windows PC,31443,70,19134,28059,9,2122.765888
JU47S,OnAudience » Interest » Technology,300x50 | PLERR1529Y,Sign up Now - 10% Off,cnn.com,Google Ad Manager,Smartphone,84306,185,45376,79935,3,1809.590961
VK67N,US » Reach » Propensity Models » Hobbies and Interest » Pets » Pet Enthusiast,300x250 | PLERR1529Y,Sign up Now - 10% Off,msn.com,Google Ad Manager,Smartphone,321263,852,172887,263424,6,1576.051434
NL65G,, | KEYHR5488T,,,,,,NA,,,NA,NA
IU57I,US » Brand Propensities » Travel » American Airlines Buyer Propensity,300x250 | QBSOQ6151K,Subscribe Today - 10% Discount,classmates.com,PulsePoint,Apple PC,12176,10,5460,11154,10,1816.030806
IR91W,Media and Entertainment » Sports and Recreational Activities » Interest (Affinity) » Olympics » Winter Olympics,320x50 | QBSOQ6151K,10% Discount - Ends 6/1,outlook.live.com,Google Ad Manager,Smartphone,21229,80,18073,19655,10,1550.076655
FZ19F,Online Behavior>United States>The Changing Consumer>Home Learning,320x50 | QBSOQ6151K,Sign up Now - 10% Off,whatismyipaddress.com,Google Ad Manager,Smartphone,12209,147,3976,5219,4,3818.955182
BY31B,Online Behavior>United States>News>Technology News,300x50 | ZNEJY5510H,10% Discount - Ends 6/1,femanin.com,BidSwitch,Smartphone,115412,490,71564,81785,21,6861.53638
BC71S,Online Behavior>United States>Intent » Auto Buyers » Car Make>Vauxhall,320x50 | OYFOL0602Q,Sign up Now - 10% Off,nypost.com,Google Ad Manager,Smartphone,14038,63,1600,11345,8,6368.862913
MN52G,US » AUTO » Decision Maker for Auto Purchase » I shared equally in the decision,320x50 | BCBBV1468I,Sign up Today - 10% Off,ebay.com,Google Ad Manager,Smartphone,102884,299,42841,96539,6,2015.448331
LQ9R,Online Behavior>United States>Travel>Specialty Travel,300x250 | BCBBV1468I,Sign up Today - 10% Off,weather.com,Google Ad Manager,Smartphone,182114,500,14477,139167,29,6307.900751
LE53S,Online Behavior>United States>Games>Card Games,320x50 | TIPEG6807U,10% Discount - Ends 6/1,boattrader.com,Google Ad Manager,Smartphone,11511,33,8268,11042,3,6815.712325
EN57G,US » Interest Propensities » Insurance » Lincoln Heritage,320x50 | TIPEG6807U,Sign up Today - 10% Off,weather.com,PubMatic,Smartphone,61848,213,6581,44917,15,1819.893602
BE54Z,Online Behavior>United States>The Changing Consumer>Streaming Services,320x50 | YPSPS2140K,Sign up Today - 10% Off,sports.yahoo.com,Google Ad Manager,Smartphone,9709,58,3339,7891,3,6994.085353
MW13Q,Mobile - US » Device Ownership » Smartphones » ZTE,300x250 | AQGKA8901Y,10% Discount - Ends 6/1,ebay.com,BidSwitch,Windows PC,74436,175,30158,69150,21,1558.549138
KP14B,Mobile - US » Demographics » Education » High Education Achievement,300x250 | AQGKA8901Y,Sign up Today - 10% Off,yahoo.com,Google Ad Manager,Windows PC,74164,241,25104,61242,19,1902.301443
ZX54K,Online Behavior>United States>Food and Drink>Beverages » Coffee and Tea,320x50 | JDAPN8561D,Subscribe Today - 10% Discount,foxnews.com,BidSwitch,Smartphone,63794,200,46557,60868,9,6832.940067
IZ89R,Online Behavior>United States>Intent » Travel>Future Travel,300x250 | AOEUZ3414F,Sign up Now - 10% Off,weather.com,Google Ad Manager,Smartphone,100991,286,56138,88836,9,4652.367629
CF31E,Online Behavior>United States>Food and Drink>Beverages » Soft Drinks,300x250 | FMGTL4108A,Sign up Today - 10% Off,lotterypost.com,Magnite DV+,Smartphone,150457,420,58372,135099,14,5906.830006
MM22N,Online Behavior>United States>Autos and Vehicles » Brands>BMW,300x50 | ZUGUN2624B,Sign up Now - 10% Off,forbes.com,TripleLift,Smartphone,88022,370,45972,83922,11,5669.14476
DV64V,Online Behavior>United States>Intent » Services>Restaurants,300x250 | ZUGUN2624B,Sign up Now - 10% Off,weather.com,Google Ad Manager,Apple PC,29856,111,7664,21698,9,4851.394446
AC72T,Online Behavior>United States>The Changing Consumer>Home Entertaining,300x250 | BLKON6199V,Sign up Today - 10% Off,mail.yahoo.com,Google Ad Manager,Smartphone,14730,86,6410,10860,6,5287.567528
SC23P,US » Interest Propensities » Insurance » Transamerica,300x250 | FHATQ2716C,Sign up Now - 10% Off,yahoo.com,Google Ad Manager,Apple PC,598460,1654,201153,557263,13,1689.744507
TF26J,US » B2B » B2B Decision Maker Responsibilities » HR or Personnel Services,300x250 | CHFYQ2941E,Sign up Today - 10% Off,foxnews.com,Google Ad Manager,Windows PC,51889,174,33879,49382,5,2172.841747
SU92S,US » Interest Propensities » Music » Country,300x250 | IFPCO8569Z,10% Discount - Ends 6/1,aol.com,Google Ad Manager,Smartphone,8716,40,6490,7862,2,2100.820137
VT80Y,Online Behavior>United States>Finance » Investing>Investing,320x50 | IFPCO8569Z,Subscribe Today - 10% Discount,msn.com,Google Ad Manager,Smartphone,1222302,3142,553773,1120128,42,7880.770406
JF49Z,OnAudience » Interest » Arts & Entertainment » Music Lovers,300x250 | BYINL9871V,Sign up Today - 10% Off,foxnews.com,OpenX,Windows PC,76724,187,43209,69530,9,1493.204528
KP86R,OnAudience » Intent,320x50 | MTDOM6894I,10% Discount - Ends 6/1,slickdeals.net,Google Ad Manager,Smartphone,19212,54,6872,14248,10,2133.077113
SM69F,Online Behavior>United States>Sports>Extreme Sports,300x250 | MTDOM6894I,Subscribe Today - 10% Discount,webmd.com,Yahoo Exchange,Smartphone,14599,33,1779,12458,4,5092.559215
BG59Q,Online Behavior>United States>Intent » Travel>Cruises,300x50 | EOTVC4808M,Subscribe Today - 10% Discount,doctoreport.com,Index Exchange,Smartphone,9560,98,3076,6252,17,6420.218123
IX70S,Online Behavior>United States>Home and Garden>Home Improvement,320x50 | EOTVC4808M,10% Discount - Ends 6/1,finance.yahoo.com,Magnite DV+,Smartphone,76049,199,34921,69138,8,6942.800458
YS8H,Online Behavior>United States>Autos and Vehicles » Brands>Ferrari,300x250 | CJQMQ0226T,Sign up Today - 10% Off,biblegateway.com,Google Ad Manager,Windows PC,88293,255,24101,75557,19,5054.481581
EW9G,Online Behavior>United States>Intent » Auto Buyers » Type>Sedan,300x250 | CJQMQ0226T,Sign up Today - 10% Off,mail.aol.com,Index Exchange,Windows PC,25889,110,18382,23328,15,4977.784794
MJ99C,Online Behavior>United States>Intent » Financial Intent>Insurance » Auto,320x50 | NXPMZ8898X,Sign up Today - 10% Off,weather.com,PubMatic,Smartphone,42884,104,4345,25153,9,6322.152655
LZ39I,OnAudience » Interest » News » International News,300x250 | NXPMZ8898X,Sign up Now - 10% Off,weather.com,Index Exchange,Smartphone,197192,519,80623,181763,5,1584.731757
LA75B,Online Behavior>United States>Finance » Investing>Brokerages and Day Trading,300x250 | CPMZO0001Q,10% Discount - Ends 6/1,newsmemory.com,Google Ad Manager,Apple PC,7695,20,3481,7050,14,6727.440499
WD24S,US » Reach » Propensity Models » Hobbies and Interest » Food and Drinks » Eats at Family Restaurants,320x50 | CPMZO0001Q,Subscribe Today - 10% Discount,poshland.com,Google Ad Manager,Smartphone,268811,799,95989,173923,4,2549.115158
AB40F,Purchase Behaviors » Q2 Environmentally Concerned Shoppers,320x50 | IRMPR6262S,Sign up Now - 10% Off,cars.com,Sovrn,Smartphone,66554,169,39206,62109,6,1890.885935
RE59K,US » Demographic » Household Income $50k+,300x50 | IRMPR6262S,10% Discount - Ends 6/1,thesaurus.com,Magnite DV+,Smartphone,20417,86,1016,13468,5,1805.600513
TV2V,Online Behavior>United States>Finance » Insurance>Life Insurance,320x50 | CVRLX9939M,Subscribe Today - 10% Discount,drugs.com,Magnite DV+,Smartphone,18401,66,11051,17202,26,6571.491552
ND9P,Online Behavior>United States>Hobbies and Leisure>Clubs and Organizations,300x50 | CVRLX9939M,Subscribe Today - 10% Discount,weather.com,Google Ad Manager,Smartphone,207823,600,33602,167814,13,6048.955611
HY59A,US » Reach » Propensity Models » Hobbies and Interest » Music » Streaming,320x50 | HRJJX3125R,Subscribe Today - 10% Discount,mail.aol.com,Magnite DV+,Smartphone,15399,35,3398,4324,3,3434.731153
FH83V,US » Demographic » Family » Male Head of Household,320x50 | DKFNA5776L,Sign up Now - 10% Off,slickdeals.net,BidSwitch,Smartphone,12510,74,4391,9098,6,1524.470523
GU70X,Online Behavior>United States>Validated Demographic » Gender and Age Combined>Females 25-64,300x250 | KLUIQ6556G,Subscribe Today - 10% Discount,mail.yahoo.com,Google Ad Manager,Smartphone,766674,1984,344201,720606,17,5816.234619
OC37K,Online Behavior>United States>Travel>Business Travel,320x50 | KLUIQ6556G,Sign up Today - 10% Off,marca.com,Google Ad Manager,Smartphone,45965,190,10028,37295,1,4718.836114
DO76X,Online Behavior>United States>The Changing Consumer>Direct to Consumer,320x50 | MDWSP5220O,Sign up Today - 10% Off,cheezburger.com,PubMatic,Smartphone,27032,110,21893,26127,5,5292.896913
HI64M,US » Brand Propensities » Travel » MGM Resorts International Buyer Propensity,300x50 | HDFBI6875J,Subscribe Today - 10% Discount,w3schools.com,BidSwitch,Smartphone,32400,87,5152,30383,9,1522.352623
KT38I,US » Sociodemographic » ConneXions Lifestage » M3 Offline Seniors,320x50 | ZGKGP8289X,Subscribe Today - 10% Discount,geeksforgeeks.org,Index Exchange,Smartphone,13293,74,9054,12676,5,2901.209509
RA17O,Mobile - US » Travel » Destination » International Travelers » yes,320x50 | ZGKGP8289X,Sign up Today - 10% Off,mail.aol.com,BidSwitch,Smartphone,69136,190,40571,63614,3,1507.946851
RB41C,Online Behavior>United States>Travel>Travel Guides and Travelogues,320x50 | ZGKGP8289X,Subscribe Today - 10% Discount,weather.com,Google Ad Manager,Smartphone,212009,555,16903,149653,15,3983.621797
MR80T,Online Behavior>United States>Autos and Vehicles » Brands>Mazda,320x50 | NMDNW0075G,Subscribe Today - 10% Discount,cbsnews.com,TripleLift,Smartphone,134847,450,104268,128470,125,6040.595578
US21I,Online Behavior>United States>Autos and Vehicles>Boats and Watercraft,320x50 | NMDNW0075G,Subscribe Today - 10% Discount,fandomwire.com,OpenX,Smartphone,111624,590,40343,101306,21,6510.446656
UN11G,Online Behavior>United States>Intent » Shopping>Wireless Providers,300x250 | VHFRU3982T,10% Discount - Ends 6/1,milb.com,Google Ad Manager,Apple PC,39725,144,5402,36080,12,6431.555152
TG65Z,Online Behavior>United States>Autos and Vehicles » Brands>Bugatti,320x50 | XWPWC1033V,Sign up Today - 10% Off,mobileposse.com,Google Ad Manager,Smartphone,98509,299,30688,109518,15,2059.270294
AG25K,US » Interest Propensities » Insurance » Aetna Group,300x250 | KGDGG2331X,10% Discount - Ends 6/1,foxbusiness.com,Google Ad Manager,Apple PC,12436,84,7055,11497,9,1720.870126
QQ83V,Mobile - US » Travel » Activity » Ski Travelers,320x50 | VILUK8823M,Subscribe Today - 10% Discount,hindustantimes.com,Google Ad Manager,Smartphone,16580,84,11928,14527,6,1965.738947
HH42Z,Online Behavior>United States>Intent » Shopping>Office Supplies,320x50 | ISBSI9065H,Subscribe Today - 10% Discount,kbb.com,Magnite DV+,Smartphone,96728,341,69700,91910,15,6587.243331
EC16S,US Buying Channel Preference » Online,320x50 | CDQVV9354G,Sign up Now - 10% Off,travelerdreams.com,BidSwitch,Smartphone,10707,57,6300,10089,3,1603.859264
LM48B,Online Behavior>United States>Travel>Bus and Rail,300x250 | PNNGV1723I,Sign up Now - 10% Off,cars.com,BidSwitch,Windows PC,45711,130,23052,42375,11,6417.876169
UP26V,US » Interest Propensities » Activities and Interests » Local News,320x50 | GQGKG5845V,Sign up Today - 10% Off,activebeat.com,Magnite DV+,Smartphone,16151,54,4360,11358,3,1706.224318
EL59Q,US » Reach » Propensity Models » Hobbies and Interest » Sports » NBA Enthusiast,320x50 | GQGKG5845V,10% Discount - Ends 6/1,jdpower.com,OpenX,Smartphone,21482,67,10473,19679,3,3563.098841
SF4C,US » Home and Garden Interests » Cooking » Food Enthusiasts,320x50 | SBFDD1822R,Subscribe Today - 10% Discount,ajc.com,PubMatic,Smartphone,12592,63,7472,11687,4,1521.185189
BG76D,Online Behavior>United States>Sports>Sports League » MLB,320x50 | CSFSM1628N,10% Discount - Ends 6/1,autotrader.com,Google Ad Manager,Smartphone,19093,50,9626,17815,10,6612.14569
